user_id_hash,label_14,label_7
280a7625f66e60896e558eaeee6b3eb0419c488eed15ef2eb4d88bcdce860f2c,1.0,0.0
0e02d992cae31bf3cc09708fc70db2cf935288bf715aa73607851d8e32de4f37,1.0,0.0
f885fd72310deaa1b7591bb3af277e632c364d36bdda5e5fd5f9da2d93fde0e6,1.0,0.0
5fb8780d18dfc69e2c968508d624828ecff7b504bf27192b5043c9a67ee623d3,1.0,1.0
75ce9e8bf0517bc7dec67b715f3caf38871135c5cd462bb0fc6be0c4d0d2b7c4,1.0,0.0
965ab5f1063f10193ab6361fdaa395065a2b9b1c4cc36b3e85c4a4b30dc07450,1.0,1.0
7ab6d7a12a41aa35981369dafd3fba4d4fbc2ffaac6fae82b688008120c8376c,1.0,1.0
b1c50668d9790138db22cc23cbf3fde97269d1b5680c903f5c63227559c51edc,1.0,1.0
e45e7f7c4a4fe840a7efd93dd3450b5b36d05bb25df4a09e8b8661a8ca367100,1.0,1.0
684543899327eb0472e13706880bd4e20298d55d9d6834c8bd05bcb3885e9a95,1.0,1.0
ba028b806c8d3894d4731646483f9524820c441e90f860063483a88cc1656bd7,1.0,0.0
c386786627463789628f4a8907524797ba25fe7b164e810f51fccf219ff0a56f,1.0,1.0
f53f1bcd83da592a1fabf361959c40ab9fedd509a6fc61ed8a28e47c1ac2c048,1.0,0.0
a6de5de73dc86609f0da689c7a4ed897f65d0fb1048f05bf4336a84b7f47e1dc,1.0,0.0
2e67e657fa19975fc27cb9fb1848fb4365c34243aa1012f5b0b382da610aabde,1.0,1.0
08538fcc9dc4ef78b7780771b40df091a32ada4833bf395678bfae35b61b63e1,1.0,0.0
fd5a38cdbaf33452a74f25c6e1cc494ee06166e82deb30af86fde5c96a3a9b1f,1.0,1.0
cc89dd4e06d12f11f4d2086fba2dc9bf9ab1f198c1edbaf1ade02c50475e9e61,1.0,1.0
23be5a52dbe0f2792c417244b47f6485cb7103fc268d2bd6d4d9e172453712f9,1.0,1.0
8da4b018fcef06acc4a349b34eeee45aac827648f93422de46eaac641361866b,1.0,0.0
12bc01334d34d7c62ae67337bec717c4e8be1eddecd55b695d2f367d53d7f0a9,1.0,1.0
7f4ee0ae0d0693b845d5a570600ffe5630fd07663f71eba9ae08a95814fa15cc,1.0,1.0
49b0fc7df2bc63e6cfc2a4eba8de047e94196821570c9340a4428d5ea0716e44,1.0,1.0
ed8e8e0ef004616b7338ccc4f33bb3a3cd503200e9d6d9f1863bd6bf6c328d5d,1.0,1.0
523c82c4442bfff8eb7990b91572b8222add403a109df582b07830c80cd8ed4b,1.0,0.0
4309e5b3cf9a0fd5a29826050abdc095078f48f47418364adf77ac200ff6e23d,1.0,1.0
d37989192ad5d18364d57f501ffa5438d33c5b4d8001017817784b93a53614c4,1.0,0.0
4b1f162952b116f2c75d0da47076c22a566b41ee6dd8ea3f1071d7a5270dd961,1.0,1.0
0739901c07bd44a92ce6d9a73a870dffa0e42b37a18702f27ff0ff0d95409e4b,1.0,0.0
b7d80ef8742a9a091a26e3aca2b27438f612883066fe5e32c98f332caef92a80,1.0,0.0
9080112c79e7877873ab007e18091f512626c8fbe1dcf7e801193e05bc4b2700,1.0,1.0
5f3b81e99450c31112ede8eb8743482f2f282e7c0acb9c9dc5bbe101388ecce0,1.0,1.0
3c7390ed52aff0496cbe649811af647d03ca772357963ea5857df92c6261d002,1.0,1.0
53ee96b0560da170b91249d716647b4722453c90d8e4d25e1a8888a3a64b8422,1.0,1.0
a8710075ed827656784dd6d52c89eb06d0f880f87a3e929650390a801a029a6b,1.0,0.0
266eca049f08c0796997ed1a80f57a0403d57685ff9d3fec0b4aead080d0c4d5,1.0,0.0
cf831b7d0b35cc424408212dc4eefb1a8cb8ad767c86230bb9644e4c41df59c6,1.0,0.0
